name	authors	year	valid
Anochetus corayi	Baroni Urbani	1980	valid
Anochetus diegensis	Forel	1912	valid
Anochetus dubius	De Andrade	1994	valid
Anochetus elegans	Lattke	1987	valid
Anochetus emarginatus	Fabricius	1804	valid
Anochetus estus	Wheeler	1922	invalid
Anochetus evansi	Crawley	1922	valid
Anochetus exstinctus	De Andrade	1994	valid
Anochetus faurei	Arnold	1948	valid
Anochetus filicornis	Wheeler	1929	valid
Anochetus fricatus	Wilson	1959	valid
Anochetus fuliginosus	Arnold	1948	valid
Anochetus ghilianii	Spinola	1851	valid
Anochetus gladiator	Donisthorpe	1932	invalid
Anochetus gladiator	Mayr	1862	valid
Anochetus gnomulus	Bernard	1953	invalid
Anochetus goodmani	Fisher & Smith	2008	valid
Anochetus gracilicornis	Viehmeyer	1923	invalid
Anochetus gracilis	Karavaiev	1925	invalid
Anochetus graeffei	Mayr	1870	valid
Anochetus grandidieri	Forel	1891	valid
Anochetus haytianus	Wheeler & Mann	1914	valid
Anochetus horridus	Kempf	1964	valid
Anochetus inca	Wheeler	1925	valid
Anochetus incultus	[no authors]	1978	valid
Anochetus ineditus	Baroni Urbani	1971	valid
Anochetus inermis	André	1889	valid
Anochetus intermedius	De Andrade	1994	valid
Anochetus isolatus	Mann	1919	valid
Anochetus jacobsoni	Forel	1911	invalid
Anochetus jacobsoni	Menozzi	1939	invalid
Anochetus jonesi	Arnold	1926	valid
Anochetus kanariensis	Forel	1900	valid
Anochetus katonae	Forel	1907	valid
Anochetus kempfi	[no authors]	1978	valid
Anochetus lamottei	Bernard	1953	invalid
Anochetus levaillanti	Emery	1895	valid
Anochetus leyticus	Zettel	2012	valid
Anochetus longifossatus	Mayr	1897	valid
Anochetus longispinus	Wheeler	1936	valid
Anochetus lucidus	De Andrade	1994	valid
Anochetus madagascarensis	Forel	1887	valid
Anochetus madaraszi	Mayr	1897	valid
Anochetus madecassus	Santschi	1928	invalid
Anochetus maynei	Forel	1913	valid
Anochetus mayri	Emery	1884	valid
Anochetus menozzii	Donisthorpe	1941	valid
Anochetus micans	[no authors]	1978	valid
Anochetus minans	Mann	1922	valid
Anochetus minutus	Karavaiev	1925	invalid
Anochetus miserabilis	[no authors]	2008	valid
Anochetus mixtus	Radchenko	1993	valid
Anochetus modicus	[no authors]	1978	valid
Anochetus mordax	Donisthorpe	1942	invalid
Anochetus muzziolii	Menozzi	1932	valid
Anochetus myops	Emery	1893	valid
Anochetus natalensis	Arnold	1926	valid
Anochetus neglectus	Emery	1894	valid
Anochetus nietneri	Roger	1861	valid
Anochetus obscuratus	Santschi	1911	valid
Anochetus obscurior	[no authors]	1978	valid
Anochetus opaciventris	Wheeler	1922	invalid
Anochetus orchidicola	[no authors]	1978	valid
