subfamily	tribe	genus	species	subspecies	status	senior synonym	fossil
Amblyoponinae	Amblyoponini	Amblyopone	hackeri		valid		
Amblyoponinae	Amblyoponini	Amblyopone	heraldoi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	howensis		unavailable		
Amblyoponinae	Amblyoponini	Amblyopone	impressifrons		valid		
Amblyoponinae	Amblyoponini	Amblyopone	juergi		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	laevidens		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	leae		valid		
Amblyoponinae	Amblyoponini	Amblyopone	longidens		valid		
Amblyoponinae	Amblyoponini	Amblyopone	lucida		valid		
Amblyoponinae	Amblyoponini	Amblyopone	lurilabes		valid		
Amblyoponinae	Amblyoponini	Amblyopone	luzonica		valid		
Amblyoponinae	Amblyoponini	Amblyopone	maculata		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	mandibularis		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	mercovichi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	michaelseni		valid		
Amblyoponinae	Amblyoponini	Amblyopone	minor		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	minor		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	minuta		valid		
Amblyoponinae	Amblyoponini	Amblyopone	monrosi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	montigena		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	mutica		valid		
Amblyoponinae	Amblyoponini	Amblyopone	mystriops		valid		
Amblyoponinae	Amblyoponini	Amblyopone	nana		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	noonadan		valid		
Amblyoponinae	Amblyoponini	Amblyopone	norfolkensis		unavailable		
Amblyoponinae	Amblyoponini	Amblyopone	normandi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	obscura		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	octodentata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	ophthalmica		valid		
Amblyoponinae	Amblyoponini	Amblyopone	oregonensis		valid		
Amblyoponinae	Amblyoponini	Amblyopone	orizabana		valid		
Amblyoponinae	Amblyoponini	Amblyopone	pallens		unavailable		
Amblyoponinae	Amblyoponini	Amblyopone	pallipes		valid		
Amblyoponinae	Amblyoponini	Amblyopone	papuana		valid		
Amblyoponinae	Amblyoponini	Amblyopone	paranense		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	pertinax		valid		
Amblyoponinae	Amblyoponini	Amblyopone	pluto		valid		
Amblyoponinae	Amblyoponini	Amblyopone	punctulata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	quadrata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	queenslandica		unavailable		
Amblyoponinae	Amblyoponini	Amblyopone	reclinata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	rothneyi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	rubiginoa		valid		
Amblyoponinae	Amblyoponini	Amblyopone	sakaii		valid		
Amblyoponinae	Amblyoponini	Amblyopone	santschii		valid		
Amblyoponinae	Amblyoponini	Amblyopone	saundersi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	serratum		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	silvestrii		valid		
Amblyoponinae	Amblyoponini	Amblyopone	smithi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	subterranea		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	testacea		valid		
Amblyoponinae	Amblyoponini	Amblyopone	trigonignatha		valid		
Amblyoponinae	Amblyoponini	Amblyopone	triloba		valid		
Amblyoponinae	Amblyoponini	Amblyopone	tropicalis		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	wheeleri		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	williamsi		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	wilsoni		valid		
Amblyoponinae	Amblyoponini	Amblyopone	zaojun		valid		
Amblyoponinae	Amblyoponini	Amblyopone	zwaluwenburgi		valid		
Amblyoponinae	Amblyoponini	Apomyrma	stygia		valid		
Amblyoponinae	Amblyoponini	Bannapone	mulanae		valid		
Amblyoponinae	Amblyoponini	Casaleia	inversa		valid		fossil
Amblyoponinae	Amblyoponini	Concoctio	concenta		valid		
Amblyoponinae	Amblyoponini	Myopopone	bakeri		synonym		
Amblyoponinae	Amblyoponini	Myopopone	beccarii		synonym		
Amblyoponinae	Amblyoponini	Myopopone	bugnioni		synonym		
Amblyoponinae	Amblyoponini	Myopopone	castanea		valid		
Amblyoponinae	Amblyoponini	Myopopone	maculata		synonym		
Amblyoponinae	Amblyoponini	Myopopone	moelleri		synonym		
Amblyoponinae	Amblyoponini	Myopopone	picea		synonym		
Amblyoponinae	Amblyoponini	Myopopone	proxima		synonym		
Amblyoponinae	Amblyoponini	Myopopone	rossi		synonym		
Amblyoponinae	Amblyoponini	Myopopone	rufula		synonym		
Amblyoponinae	Amblyoponini	Myopopone	similis		synonym		
Amblyoponinae	Amblyoponini	Myopopone	sinensis		valid		fossil
Amblyoponinae	Amblyoponini	Myopopone	smithi		synonym		
Amblyoponinae	Amblyoponini	Myopopone	striatifrons		synonym		
Amblyoponinae	Amblyoponini	Myopopone	wollastoni		synonym		
Amblyoponinae	Amblyoponini	Mystrium	camillae		valid		
Amblyoponinae	Amblyoponini	Mystrium	fallax		valid		
Amblyoponinae	Amblyoponini	Mystrium	javana		synonym		
Amblyoponinae	Amblyoponini	Mystrium	leonie		valid		
Amblyoponinae	Amblyoponini	Mystrium	maren		valid		
Amblyoponinae	Amblyoponini	Mystrium	mysticum		valid		
Amblyoponinae	Amblyoponini	Mystrium	oberthueri		valid		
