5523,"Abdul-Rassoul, M. S.; Dawah, H. A.; Othman, N. Y.",1978.,197804,"Records of insect collection (Part I) in the Natural History Research Centre, Baghdad.",Bull. Nat. Hist. Res. Cent. Univ. Baghdad 7(2):1-6.,"{Formicidae pp. 4-6.} Paper deals with Cicadelloidea, Dermaptera, and Formicidae.",PSW
3100,"Agosti, D.; Mohamed, M.; Arthur, C. Y. C.",1994.,1994,Has the diversity of tropical ant fauna been underestimated? An indication from leaf litter studies in a west Malaysian lowland rain forest.,Trop. Biodivers. 2:270-275.,,PSW,,,
1,"Aguayo, C. G.",1931.,193112,New ants of the genus Macromischa.,Psyche (Camb.) 38:175-183.,{Stamp date in MCZ library: 1932.01.26.},PSW,,,
2,"Aguayo, C. G.",1932.,19321129,Notes on West Indian ants.,Bull. Brooklyn Entomol. Soc. 27:215-227.,Date from Bolton.,PSW,,,
4,"Aguayo, C. G.",1937.,19370710,Nueva especie de hormiga cubana.,"Mem. Soc. Cuba. Hist. Nat. ""Felipe Poey"" 11:235-236.",Date from Bolton.,PSW,,,
7383,"Aguayo, J.",1946.,19460924,"El extraño caso de la Historia física, política y natural de la isla de Cuba.","Mem. Soc. Cuba. Hist. Nat. ""Felipe Poey"" 18:153-184.","Discusses dating of Sagra, R. de la (Historia física, política y natural de la isla de Cuba); cf. Guérin-Méneville (1857).",PSW,,,
4776,"Akre, R. D.; Antonelli, A. L.",1976.,197608,Identification and habits of key ant pests of Washington.,Wash. State Univ. Coll. Agric. Coop. Ext. Serv. Bull. 671:1-5.,,PSW,,,
5818,"Akre, R. D.; Antonelli, A. L.",1987.,198703,Identification and habits of key ant pests of Washington.,Wash. State Univ. Coll. Agric. Coop. Ext. Serv. Bull. 0671:1-8.,,PSW,,,
4707,"Aktaç, N.","1977 (""1976"").",1977,"Studies on the myrmecofauna of Turkey I. Ants of Siirt, Bodrum and Trabzon.",Istanbul Univ. Fen Fak. Mecm. Seri B 41:115-135.,Date from Bolton.,PSW,,,
8282,"Aktaç, N.; Aras, A.; Camlitepe, Y.",1994.,,Ants of Thracian part of Turkey.,Bios (Thessaloniki) 2:203-209.,"76 ant species including Crematogaster laestrygon, new for the Balkan Peninsula.  Article cited in Zool. Record vol. 134. Serial ISSN: 1105-5049. Reprint requested 9.iv.1999, and received .v.1999.",PSW,,,
6821,"Alayo, P.",1973.,197306,Catálogo de los himenopteros de Cuba.,"Habana: Instituto Cubano del Libro, 218 pp.","{Ants pp. 121-155.} ANTBIB Misc. Notes, p. 95.",Seen,,,
